model,thinking,config,task,rep,label,reward_binary,reward_partial,n_turns,n_sym_turns,first_sym_turn,last_sym_turn,sym_coverage,n_gold_symbols
gpt-5.5,low,observational-memory-gpt54mini-low,actionlint-action-pinning-lint,1,solved,1,1.0,37,9,16,29,0.294,34
gpt-5.5,low,observational-memory-gpt54mini-low,actionlint-action-pinning-lint,2,solved,1,1.0,44,11,16,40,0.265,34
gpt-5.5,low,observational-memory-gpt54mini-low,adaptix-name-mapping-aliases,0,found_kept_failed,0,0.9978432782171099,76,18,2,75,0.2,30
gpt-5.5,low,observational-memory-gpt54mini-low,adaptix-name-mapping-aliases,1,found_kept_failed,0,0.9949676491732566,87,14,1,85,0.1,30
gpt-5.5,low,observational-memory-gpt54mini-low,adaptix-name-mapping-aliases,2,found_kept_failed,0,0.994608195542775,69,17,2,63,0.2,30
gpt-5.5,low,observational-memory-gpt54mini-low,aiomonitor-task-snapshots-diff,0,found_kept_failed,-1,0.0,44,12,2,37,0.769,39
gpt-5.5,low,observational-memory-gpt54mini-low,anko-default-function-arguments,0,search_failure,0,0.9834710743801653,49,0,,,0.0,14
gpt-5.5,low,observational-memory-gpt54mini-low,anko-default-function-arguments,1,search_failure,0,0.9421487603305785,42,0,,,0.0,14
gpt-5.5,low,observational-memory-gpt54mini-low,anko-default-function-arguments,2,search_failure,0,0.9917355371900827,41,0,,,0.0,14
gpt-5.5,low,observational-memory-gpt54mini-low,anko-typed-variable-bindings,0,found_kept_failed,0,0.941747572815534,45,6,26,39,0.103,29
gpt-5.5,low,observational-memory-gpt54mini-low,anko-typed-variable-bindings,1,found_then_lost,0,0.9611650485436893,53,7,21,38,0.069,29
gpt-5.5,low,observational-memory-gpt54mini-low,anko-typed-variable-bindings,2,found_kept_failed,0,0.9805825242718447,41,6,4,32,0.069,29
gpt-5.5,low,observational-memory-gpt54mini-low,arcane-drift-detection-baselines,0,found_kept_failed,0,0.9880952380952381,55,13,2,49,0.698,43
gpt-5.5,low,observational-memory-gpt54mini-low,arktype-json-schema-refs-dependencies,0,found_then_lost,0,0.9988262910798122,47,2,21,22,0.067,15
gpt-5.5,low,observational-memory-gpt54mini-low,awilix-async-container-initialization,0,solved,1,1.0,34,12,9,27,0.267,15
gpt-5.5,low,observational-memory-gpt54mini-low,awilix-async-container-initialization,1,solved,1,1.0,35,7,10,20,0.267,15
gpt-5.5,low,observational-memory-gpt54mini-low,awilix-async-container-initialization,2,solved,1,1.0,27,8,9,18,0.267,15
gpt-5.5,low,observational-memory-gpt54mini-low,bandit-incremental-cache-control,0,found_then_lost,0,0.9614325068870524,33,4,11,19,0.25,24
gpt-5.5,low,observational-memory-gpt54mini-low,bandit-interprocedural-taint-checks,0,solved,1,1.0,36,2,7,26,0.032,31
gpt-5.5,low,observational-memory-gpt54mini-low,bandit-structured-nosec-directives,0,found_kept_failed,0,0.9886039886039886,43,6,10,41,0.057,53
gpt-5.5,low,observational-memory-gpt54mini-low,bandit-structured-nosec-directives,1,found_kept_failed,0,0.9971509971509972,45,4,13,42,0.057,53
gpt-5.5,low,observational-memory-gpt54mini-low,bandit-structured-nosec-directives,2,found_kept_failed,0,0.9857549857549858,43,6,12,41,0.057,53
gpt-5.5,low,observational-memory-gpt54mini-low,boa-hierarchical-evaluation-cancellation,0,solved,1,1.0,80,26,21,74,0.462,39
gpt-5.5,low,observational-memory-gpt54mini-low,boa-hierarchical-evaluation-cancellation,1,solved,1,1.0,76,18,22,65,0.41,39
gpt-5.5,low,observational-memory-gpt54mini-low,boa-hierarchical-evaluation-cancellation,2,found_kept_failed,0,0.2916666666666667,49,12,17,39,0.41,39
gpt-5.5,low,observational-memory-gpt54mini-low,cattrs-partial-structuring-recovery,0,solved,1,1.0,44,15,1,38,0.25,20
gpt-5.5,low,observational-memory-gpt54mini-low,cattrs-partial-structuring-recovery,1,solved,1,1.0,40,15,2,35,0.25,20
gpt-5.5,low,observational-memory-gpt54mini-low,cattrs-partial-structuring-recovery,2,solved,1,1.0,35,10,1,29,0.25,20
gpt-5.5,low,observational-memory-gpt54mini-low,clack-async-autocomplete-options,0,search_failure,0,0.9848275862068966,29,0,,,0.0,7
gpt-5.5,low,observational-memory-gpt54mini-low,clack-async-autocomplete-options,1,search_failure,0,0.9875862068965517,40,0,,,0.0,7
gpt-5.5,low,observational-memory-gpt54mini-low,clack-async-autocomplete-options,2,search_failure,0,0.9889655172413793,30,0,,,0.0,7
gpt-5.5,low,observational-memory-gpt54mini-low,claude-code-by-agents-recursive-delegation,0,solved,1,1.0,28,0,,,0.0,15
gpt-5.5,low,observational-memory-gpt54mini-low,cliffy-config-file-parsing,0,found_kept_failed,0,0.9959016393442623,58,7,18,44,0.208,24
gpt-5.5,low,observational-memory-gpt54mini-low,csstree-shorthand-expansion-compression,0,found_kept_failed,0,0.9992259140169109,23,4,10,19,0.087,23
gpt-5.5,low,observational-memory-gpt54mini-low,csstree-shorthand-expansion-compression,1,found_kept_failed,0,0.9997022746218888,41,6,8,37,0.174,23
gpt-5.5,low,observational-memory-gpt54mini-low,csstree-shorthand-expansion-compression,2,found_kept_failed,0,0.9997022746218888,26,5,13,22,0.087,23
gpt-5.5,low,observational-memory-gpt54mini-low,dasel-html-document-format,0,found_then_lost,0,0.7029360967184801,46,4,13,21,0.16,50
gpt-5.5,low,observational-memory-gpt54mini-low,dateutil-rfc5545-timezone-interop,0,found_kept_failed,0,0.9980970504281637,34,27,1,33,0.647,34
gpt-5.5,low,observational-memory-gpt54mini-low,drizzle-orm-window-function-builders,0,solved,1,1.0,43,2,13,30,0.476,21
gpt-5.5,low,observational-memory-gpt54mini-low,dynamodb-toolbox-conditional-attribute-requirements,0,search_failure,0,0.9938366718027735,57,0,,,0.0,1
gpt-5.5,low,observational-memory-gpt54mini-low,dynamodb-toolbox-lazy-recursive-schemas,0,found_kept_failed,0,0.9861963190184049,74,5,20,60,0.222,9
gpt-5.5,low,observational-memory-gpt54mini-low,dynamodb-toolbox-lazy-recursive-schemas,1,found_then_lost,0,0.9831288343558282,65,4,20,23,0.222,9
gpt-5.5,low,observational-memory-gpt54mini-low,dynamodb-toolbox-lazy-recursive-schemas,2,found_then_lost,0,0.9992331288343558,87,4,14,17,0.222,9
gpt-5.5,low,observational-memory-gpt54mini-low,effect-sse-httpapi-streaming,0,found_kept_failed,0,0.905982905982906,85,20,0,83,0.375,16
gpt-5.5,low,observational-memory-gpt54mini-low,effect-sse-httpapi-streaming,1,found_kept_failed,0,0.5982905982905983,64,10,2,62,0.375,16
gpt-5.5,low,observational-memory-gpt54mini-low,effect-sse-httpapi-streaming,2,found_kept_failed,0,0.9145299145299145,63,10,0,61,0.375,16
gpt-5.5,low,observational-memory-gpt54mini-low,eicrud-keyset-pagination-cursor,0,found_then_lost,0,0.967032967032967,37,2,17,18,0.2,15
gpt-5.5,low,observational-memory-gpt54mini-low,etree-xml-diff-patch,0,found_kept_failed,0,0.2537313432835821,20,4,12,17,0.431,65
gpt-5.5,low,observational-memory-gpt54mini-low,etree-xml-diff-patch,1,found_kept_failed,0,0.9850746268656716,18,4,9,14,0.431,65
gpt-5.5,low,observational-memory-gpt54mini-low,etree-xml-diff-patch,2,found_then_lost,0,0.9253731343283582,16,2,8,11,0.431,65
gpt-5.5,low,observational-memory-gpt54mini-low,expr-try-catch-errors,0,found_kept_failed,0,0.9989298203303991,52,4,25,41,0.077,26
gpt-5.5,low,observational-memory-gpt54mini-low,fastapi-deprecation-response-headers,0,solved,1,1.0,65,12,35,60,0.8,10
gpt-5.5,low,observational-memory-gpt54mini-low,fastapi-implicit-head-options,0,found_kept_failed,0,0.9971671388101983,38,11,2,29,0.29,31
gpt-5.5,low,observational-memory-gpt54mini-low,fastapi-implicit-head-options,1,found_kept_failed,0,0.9911866540761725,47,15,2,40,0.29,31
gpt-5.5,low,observational-memory-gpt54mini-low,fastapi-implicit-head-options,2,found_kept_failed,0,0.994649039974819,59,23,2,54,0.258,31
gpt-5.5,low,observational-memory-gpt54mini-low,fd-deterministic-multi-key-sorting,0,found_then_lost,0,0.9736842105263158,36,3,17,21,0.045,44
gpt-5.5,low,observational-memory-gpt54mini-low,fd-deterministic-multi-key-sorting,1,found_then_lost,0,0.993421052631579,34,5,17,25,0.068,44
gpt-5.5,low,observational-memory-gpt54mini-low,fd-deterministic-multi-key-sorting,2,found_then_lost,0,0.993421052631579,35,3,13,21,0.045,44
gpt-5.5,low,observational-memory-gpt54mini-low,geo-shapeindex-serialization,0,solved,1,1.0,36,11,7,32,0.846,13
gpt-5.5,low,observational-memory-gpt54mini-low,go-critic-doc-link-checker,0,solved,1,1.0,34,10,12,27,0.132,68
gpt-5.5,low,observational-memory-gpt54mini-low,go-genai-streamed-function-args,0,found_then_lost,0,0.9411764705882353,34,2,16,24,0.031,32
gpt-5.5,low,observational-memory-gpt54mini-low,go-git-worktree-merge-conflicts,0,found_kept_failed,0,0.8947368421052632,42,5,2,35,0.115,26
gpt-5.5,low,observational-memory-gpt54mini-low,goreleaser-retry-publish-auditing,0,solved,1,1.0,43,3,16,21,0.03,33
gpt-5.5,low,observational-memory-gpt54mini-low,goreleaser-retry-publish-auditing,1,solved,1,1.0,39,1,14,14,0.03,33
gpt-5.5,low,observational-memory-gpt54mini-low,goreleaser-retry-publish-auditing,2,solved,1,1.0,30,1,23,23,0.03,33
gpt-5.5,low,observational-memory-gpt54mini-low,gql-incremental-graphql-delivery,0,found_kept_failed,0,0.9975845410628019,44,13,1,42,0.261,23
gpt-5.5,low,observational-memory-gpt54mini-low,gql-incremental-graphql-delivery,1,found_kept_failed,0,0.9963768115942029,39,8,1,38,0.261,23
gpt-5.5,low,observational-memory-gpt54mini-low,gql-incremental-graphql-delivery,2,found_kept_failed,0,0.9842995169082126,51,8,1,49,0.261,23
gpt-5.5,low,observational-memory-gpt54mini-low,happy-dom-abort-pending-body-reads,0,found_kept_failed,0,0.9776536312849162,40,11,1,39,0.375,8
gpt-5.5,low,observational-memory-gpt54mini-low,happy-dom-deterministic-intersectionobserver,0,solved,1,1.0,21,10,0,20,0.167,6
gpt-5.5,low,observational-memory-gpt54mini-low,helm-array-merge-strategies,0,found_kept_failed,0,0.9661016949152542,46,14,0,42,0.079,38
gpt-5.5,low,observational-memory-gpt54mini-low,helm-unified-manifest-stream,0,solved,1,1.0,48,6,0,16,0.081,37
gpt-5.5,low,observational-memory-gpt54mini-low,httpx-deterministic-cookie-store,0,found_kept_failed,0,0.994269340974212,38,13,10,37,0.5,4
gpt-5.5,low,observational-memory-gpt54mini-low,httpx-multipart-response-parsing,0,solved,1,1.0,40,10,1,27,0.292,24
gpt-5.5,low,observational-memory-gpt54mini-low,httpx-streaming-json-iteration,0,found_then_lost,0,0.9986772486772487,32,7,2,19,0.143,21
gpt-5.5,low,observational-memory-gpt54mini-low,httpx-streaming-json-iteration,1,found_kept_failed,0,0.998015873015873,48,7,2,37,0.143,21
gpt-5.5,low,observational-memory-gpt54mini-low,httpx-streaming-json-iteration,2,found_then_lost,0,0.9993386243386243,36,9,1,25,0.143,21
gpt-5.5,low,observational-memory-gpt54mini-low,igel-persist-feature-schema,0,found_kept_failed,0,0.3076923076923077,40,8,2,32,0.231,26
gpt-5.5,low,observational-memory-gpt54mini-low,ink-grid-box-layout,0,search_failure,0,0.7162162162162162,48,0,,,0.0,6
gpt-5.5,low,observational-memory-gpt54mini-low,ipython-session-bundle-replay,0,found_kept_failed,0,0.9565217391304348,36,10,0,35,0.438,32
gpt-5.5,low,observational-memory-gpt54mini-low,katex-multicolumn-array-spans,0,search_failure,0,0.9942279942279942,31,0,,,0.0,21
gpt-5.5,low,observational-memory-gpt54mini-low,kcp-go-multiplexed-kcp-streams,0,found_kept_failed,0,0.9761904761904762,27,9,3,21,0.355,62
gpt-5.5,low,observational-memory-gpt54mini-low,kea-atomic-signal-selectors,0,found_kept_failed,0,0.9337748344370861,31,3,7,26,0.043,23
gpt-5.5,low,observational-memory-gpt54mini-low,kea-atomic-signal-selectors,1,found_then_lost,0,0.9337748344370861,46,1,19,19,0.043,23
gpt-5.5,low,observational-memory-gpt54mini-low,kea-atomic-signal-selectors,2,found_then_lost,0,0.9933774834437086,52,1,11,11,0.043,23
gpt-5.5,low,observational-memory-gpt54mini-low,kgateway-consistent-hash-policy,0,found_kept_failed,0,0.9907407407407407,49,9,20,43,0.213,47
gpt-5.5,low,observational-memory-gpt54mini-low,kgateway-consistent-hash-policy,1,found_then_lost,0,0.9907407407407407,35,5,20,24,0.128,47
gpt-5.5,low,observational-memory-gpt54mini-low,kgateway-consistent-hash-policy,2,found_kept_failed,0,0.9907407407407407,36,6,4,29,0.149,47
gpt-5.5,low,observational-memory-gpt54mini-low,kombu-single-active-consumer-priority,0,found_kept_failed,0,0.99800796812749,45,14,2,39,0.553,47
gpt-5.5,low,observational-memory-gpt54mini-low,kombu-single-active-consumer-priority,1,found_kept_failed,0,0.99933598937583,39,12,1,31,0.596,47
gpt-5.5,low,observational-memory-gpt54mini-low,kombu-single-active-consumer-priority,2,found_kept_failed,0,0.99867197875166,35,9,1,26,0.574,47
gpt-5.5,low,observational-memory-gpt54mini-low,kombu-virtual-queue-dead-lettering,0,found_kept_failed,0,0.9946236559139785,41,16,1,35,0.611,36
gpt-5.5,low,observational-memory-gpt54mini-low,koota-composite-trait-aspects,0,found_kept_failed,0,0.9372197309417041,89,24,14,85,0.478,23
gpt-5.5,low,observational-memory-gpt54mini-low,koota-deferred-mutation-buffer,0,found_kept_failed,0,0.8944723618090452,37,14,1,36,0.103,29
gpt-5.5,low,observational-memory-gpt54mini-low,koota-deferred-mutation-buffer,1,found_kept_failed,0,0.9698492462311558,29,11,1,28,0.103,29
gpt-5.5,low,observational-memory-gpt54mini-low,koota-deferred-mutation-buffer,2,found_kept_failed,0,0.949748743718593,39,15,1,37,0.138,29
gpt-5.5,low,observational-memory-gpt54mini-low,koota-entity-snapshot-rollback,0,solved,1,1.0,53,3,1,27,1.0,1
gpt-5.5,low,observational-memory-gpt54mini-low,koota-pair-relation-tracking,0,found_kept_failed,0,0.9285714285714286,69,7,12,59,0.25,24
gpt-5.5,low,observational-memory-gpt54mini-low,koota-query-predicates,0,found_then_lost,0,0.9813953488372092,59,8,1,42,0.25,20
gpt-5.5,low,observational-memory-gpt54mini-low,kysely-window-grouping-helpers,0,search_failure,0,0.9855072463768116,74,0,,,0.0,6
gpt-5.5,low,observational-memory-gpt54mini-low,langchain-request-coalescing,0,found_kept_failed,0,0.9929078014184397,41,24,0,39,0.617,47
gpt-5.5,low,observational-memory-gpt54mini-low,langchain-request-coalescing,1,found_kept_failed,0,0.9858156028368794,35,15,0,33,0.574,47
gpt-5.5,low,observational-memory-gpt54mini-low,langchain-request-coalescing,2,found_kept_failed,0,0.9964539007092199,43,21,0,40,0.574,47
gpt-5.5,low,observational-memory-gpt54mini-low,mashumaro-flattened-dataclass-fields,0,search_failure,0,0.9999667553191489,49,0,,,0.0,13
gpt-5.5,low,observational-memory-gpt54mini-low,mashumaro-flattened-dataclass-fields,1,search_failure,0,0.9998670212765958,37,0,,,0.0,13
gpt-5.5,low,observational-memory-gpt54mini-low,mashumaro-flattened-dataclass-fields,2,search_failure,0,0.9999002659574469,56,0,,,0.0,13
gpt-5.5,low,observational-memory-gpt54mini-low,meriyah-explicit-resource-declarations,0,search_failure,0,0.9998641251601382,58,0,,,0.0,17
gpt-5.5,low,observational-memory-gpt54mini-low,mnamer-daemon-watch-lifecycle,0,found_kept_failed,0,0.9972972972972973,21,9,0,18,0.318,22
gpt-5.5,low,observational-memory-gpt54mini-low,mobly-grouped-test-barriers,0,found_kept_failed,0,0.979706877113867,31,10,1,27,0.256,39
gpt-5.5,low,observational-memory-gpt54mini-low,narwhals-rolling-window-suite,0,solved,1,1.0,56,14,18,52,0.316,19
gpt-5.5,low,observational-memory-gpt54mini-low,numba-stencil-boundary-modes,0,found_then_lost,0,0.9883177570093458,24,2,5,7,0.143,14
gpt-5.5,low,observational-memory-gpt54mini-low,obsidian-linter-auto-table-of-contents,0,found_then_lost,0,0.9650170648464164,34,3,12,19,0.214,14
gpt-5.5,low,observational-memory-gpt54mini-low,obsidian-linter-auto-table-of-contents,1,found_then_lost,0,0.9650170648464164,28,2,10,16,0.071,14
gpt-5.5,low,observational-memory-gpt54mini-low,obsidian-linter-auto-table-of-contents,2,found_then_lost,0,0.9650170648464164,33,2,12,19,0.214,14
gpt-5.5,low,observational-memory-gpt54mini-low,obsidian-linter-link-format-conversion,0,found_then_lost,0,0.9991603694374476,51,2,16,32,0.053,19
gpt-5.5,low,observational-memory-gpt54mini-low,obsidian-linter-scoped-ignore-markers,0,search_failure,0,0.9716981132075472,30,0,,,0.0,39
gpt-5.5,low,observational-memory-gpt54mini-low,ofetch-per-origin-circuit-breaker,0,solved,1,1.0,42,8,1,31,0.143,14
gpt-5.5,low,observational-memory-gpt54mini-low,onedump-dump-encryption-pipeline,0,found_kept_failed,0,0.9659090909090909,28,15,1,22,0.5,38
gpt-5.5,low,observational-memory-gpt54mini-low,onedump-dump-encryption-pipeline,1,found_kept_failed,0,0.8863636363636364,32,14,1,24,0.474,38
gpt-5.5,low,observational-memory-gpt54mini-low,onedump-dump-encryption-pipeline,2,found_then_lost,0,0.9204545454545454,23,9,1,15,0.526,38
gpt-5.5,low,observational-memory-gpt54mini-low,opa-rego-rule-profiling,0,found_kept_failed,0,0.9032258064516129,46,13,3,38,0.784,37
gpt-5.5,low,observational-memory-gpt54mini-low,opa-template-string-reconstruction,0,found_kept_failed,0,0.8888888888888888,62,21,1,60,0.111,27
gpt-5.5,low,observational-memory-gpt54mini-low,optique-conditional-option-dependencies,0,found_kept_failed,0,0.9951690821256038,51,11,0,50,0.2,15
gpt-5.5,low,observational-memory-gpt54mini-low,oxvg-structural-selector-preservation,0,found_then_lost,0,0.9558823529411765,57,4,14,41,0.019,54
gpt-5.5,low,observational-memory-gpt54mini-low,oxvg-structural-selector-preservation,1,found_then_lost,0,0.9705882352941176,44,5,10,29,0.019,54
gpt-5.5,low,observational-memory-gpt54mini-low,oxvg-structural-selector-preservation,2,found_then_lost,0,0.9264705882352942,31,2,11,14,0.037,54
gpt-5.5,low,observational-memory-gpt54mini-low,participle-grammar-conflict-analysis,0,found_kept_failed,0,0.6844262295081968,23,11,1,21,0.542,48
gpt-5.5,low,observational-memory-gpt54mini-low,pebble-durability-wait-apis,0,found_kept_failed,0,0.883495145631068,61,16,0,59,0.5,36
gpt-5.5,low,observational-memory-gpt54mini-low,pest-character-class-coalescing,0,found_then_lost,0,0.9915254237288136,60,7,15,32,0.261,23
gpt-5.5,low,observational-memory-gpt54mini-low,prometheus-transactional-reload-status,0,found_then_lost,0,0.9896907216494846,59,3,11,30,0.25,4
gpt-5.5,low,observational-memory-gpt54mini-low,prometheus-typed-label-sorting,0,solved,1,1.0,29,4,8,17,0.023,44
gpt-5.5,low,observational-memory-gpt54mini-low,prometheus-typed-label-sorting,1,found_then_lost,0,0.9555555555555556,27,3,8,13,0.023,44
gpt-5.5,low,observational-memory-gpt54mini-low,prometheus-typed-label-sorting,2,solved,1,1.0,30,3,9,12,0.023,44
gpt-5.5,low,observational-memory-gpt54mini-low,psd-tools-blend-range-api,0,found_kept_failed,0,0.9970703125,32,12,1,24,0.793,29
gpt-5.5,low,observational-memory-gpt54mini-low,pwntools-tube-multiplexing,0,found_kept_failed,0,0.972972972972973,31,25,1,30,0.765,34
gpt-5.5,low,observational-memory-gpt54mini-low,python-statemachine-state-data-scoping,0,solved,1,1.0,72,21,10,61,0.25,68
gpt-5.5,low,observational-memory-gpt54mini-low,python-statemachine-state-data-scoping,1,solved,1,1.0,71,24,12,63,0.25,68
gpt-5.5,low,observational-memory-gpt54mini-low,python-statemachine-state-data-scoping,2,found_kept_failed,0,0.9904270986745214,80,22,14,66,0.235,68
gpt-5.5,low,observational-memory-gpt54mini-low,query-persist-restored-query-state,0,solved,1,1.0,54,0,,,0.0,13
gpt-5.5,low,observational-memory-gpt54mini-low,quill-shared-toolbar-focus,0,solved,1,1.0,38,8,8,31,0.222,27
gpt-5.5,low,observational-memory-gpt54mini-low,returns-validated-error-accumulation,0,found_kept_failed,0,0.9863636363636363,33,19,1,32,0.689,45
gpt-5.5,low,observational-memory-gpt54mini-low,scc-bounded-memory-spilling,0,found_then_lost,0,0.9905362776025236,36,2,19,21,0.044,45
gpt-5.5,low,observational-memory-gpt54mini-low,scriggo-method-declarations,0,found_kept_failed,0,0.9525979945305378,48,17,1,47,0.111,54
gpt-5.5,low,observational-memory-gpt54mini-low,skrub-duration-encoding,0,found_kept_failed,0,0.9996568291008923,42,16,1,40,0.17,47
gpt-5.5,low,observational-memory-gpt54mini-low,sql-formatter-bigquery-pipe-formatting,0,search_failure,0,0.9998256320836966,35,0,,,0.0,4
gpt-5.5,low,observational-memory-gpt54mini-low,sqlfmt-create-table-ddl-formatting,0,found_then_lost,0,0.9969348659003832,35,2,7,13,0.263,38
gpt-5.5,low,observational-memory-gpt54mini-low,sqlite-utils-safe-import-checkpoints,0,found_kept_failed,0,0.9981785063752276,57,29,1,56,0.658,38
gpt-5.5,low,observational-memory-gpt54mini-low,superjson-error-stack-serialization,0,found_then_lost,0,0.9948979591836735,22,10,3,15,0.455,22
gpt-5.5,low,observational-memory-gpt54mini-low,task-task-graph-export,0,found_kept_failed,0,0.8918918918918919,39,4,2,29,0.348,23
gpt-5.5,low,observational-memory-gpt54mini-low,tengo-callable-instance-isolation,0,found_kept_failed,0,0.993103448275862,46,8,2,37,0.122,41
gpt-5.5,low,observational-memory-gpt54mini-low,tengo-destructuring-bindings,0,found_kept_failed,0,0.8116591928251121,52,11,18,42,0.303,33
gpt-5.5,low,observational-memory-gpt54mini-low,termenv-preserve-ansi-resets,0,found_kept_failed,0,0.9754098360655737,34,17,5,30,0.483,29
gpt-5.5,low,observational-memory-gpt54mini-low,termenv-preserve-ansi-resets,1,found_kept_failed,0,0.9262295081967213,30,9,8,24,0.448,29
gpt-5.5,low,observational-memory-gpt54mini-low,termenv-preserve-ansi-resets,2,found_kept_failed,0,0.9754098360655737,24,10,7,19,0.483,29
gpt-5.5,low,observational-memory-gpt54mini-low,testem-bail-on-test-failure,0,found_then_lost,0,0.9844559585492227,59,5,26,43,0.222,9
gpt-5.5,low,observational-memory-gpt54mini-low,testem-per-launcher-reports,0,found_then_lost,0,0.99812734082397,35,7,2,24,0.625,8
gpt-5.5,low,observational-memory-gpt54mini-low,textual-kitty-key-phases,0,found_kept_failed,0,0.95,35,14,2,28,0.34,50
gpt-5.5,low,observational-memory-gpt54mini-low,textual-kitty-key-phases,1,found_kept_failed,0,0.9875,39,11,1,33,0.3,50
gpt-5.5,low,observational-memory-gpt54mini-low,textual-kitty-key-phases,2,found_kept_failed,0,0.875,47,14,1,36,0.3,50
gpt-5.5,low,observational-memory-gpt54mini-low,textual-richlog-follow-state,0,found_kept_failed,0,0.9615384615384616,45,17,2,40,0.298,47
gpt-5.5,low,observational-memory-gpt54mini-low,tomlkit-toml-table-converters,0,found_kept_failed,0,0.994140625,33,9,13,29,0.35,20
gpt-5.5,low,observational-memory-gpt54mini-low,true-myth-iterable-collection-combinators,0,solved,1,1.0,24,1,15,15,0.5,2
gpt-5.5,low,observational-memory-gpt54mini-low,ts-pattern-match-each,0,solved,1,1.0,18,2,5,9,0.333,6
gpt-5.5,low,observational-memory-gpt54mini-low,ts-pattern-match-each,1,solved,1,1.0,22,3,5,13,0.5,6
gpt-5.5,low,observational-memory-gpt54mini-low,ts-pattern-match-each,2,solved,1,1.0,24,2,7,15,0.333,6
gpt-5.5,low,observational-memory-gpt54mini-low,updo-policy-alerting,0,found_kept_failed,0,0.9928571428571429,30,12,6,23,0.429,42
gpt-5.5,low,observational-memory-gpt54mini-low,updo-policy-alerting,1,found_kept_failed,0,0.9928571428571429,31,10,2,25,0.381,42
gpt-5.5,low,observational-memory-gpt54mini-low,updo-policy-alerting,2,found_then_lost,0,0.9928571428571429,32,9,10,23,0.429,42
gpt-5.5,low,observational-memory-gpt54mini-low,valibot-recursive-schema-composition,0,found_kept_failed,0,0.9954337899543378,52,27,1,51,0.235,17
gpt-5.5,low,observational-memory-gpt54mini-low,vitest-duration-sharding,0,solved,1,1.0,49,16,5,46,0.24,25
gpt-5.5,low,observational-memory-gpt54mini-low,vulture-persistent-analysis-cache,0,found_then_lost,0,0.987460815047022,27,8,1,19,0.14,43
gpt-5.5,low,observational-memory-gpt54mini-low,wasmi-trap-coredumps,0,found_kept_failed,0,0.825,42,16,1,41,0.175,40
gpt-5.5,low,observational-memory-gpt54mini-low,wasmi-trap-coredumps,1,found_kept_failed,0,0.825,48,12,1,44,0.175,40
gpt-5.5,low,observational-memory-gpt54mini-low,wasmi-trap-coredumps,2,found_kept_failed,0,0.825,43,13,1,41,0.15,40
gpt-5.5,low,observational-memory-gpt54mini-low,wazero-multi-module-snapshots,0,solved,1,1.0,24,4,7,19,0.667,42
gpt-5.5,low,observational-memory-gpt54mini-low,wazero-multi-module-snapshots,1,solved,1,1.0,16,5,6,12,0.667,42
gpt-5.5,low,observational-memory-gpt54mini-low,wazero-multi-module-snapshots,2,solved,1,1.0,17,3,7,10,0.69,42
gpt-5.5,low,observational-memory-gpt54mini-low,yaegi-go-embed-directives,0,found_kept_failed,0,0.9895833333333334,71,13,28,65,0.514,35
gpt-5.5,low,observational-memory-gpt54mini-low,yjs-map-conflict-detection,0,solved,1,1.0,53,7,15,42,0.079,38
gpt-5.5,low,observational-memory-gpt54mini-low,yjs-map-conflict-detection,1,solved,1,1.0,67,6,17,44,0.053,38
gpt-5.5,low,observational-memory-gpt54mini-low,yjs-map-conflict-detection,2,found_kept_failed,0,0.9958333333333333,51,7,22,47,0.079,38
gpt-5.5,low,observational-memory-gpt54mini-low,ytt-jsonpath-query-api,0,solved,1,1.0,31,4,14,21,0.045,66
gpt-5.5,low,observational-memory-gpt54-low,actionlint-action-pinning-lint,0,solved,1,1.0,40,10,19,34,0.294,34
gpt-5.5,low,observational-memory-gpt54-low,actionlint-action-pinning-lint,1,solved,1,1.0,31,9,15,29,0.265,34
gpt-5.5,low,observational-memory-gpt54-low,actionlint-action-pinning-lint,2,solved,1,1.0,45,16,18,39,0.294,34
gpt-5.5,low,observational-memory-gpt54-low,anko-default-function-arguments,0,search_failure,0,0.9834710743801653,39,0,,,0.0,14
gpt-5.5,low,observational-memory-gpt54-low,anko-default-function-arguments,1,search_failure,0,0.9834710743801653,37,0,,,0.0,14
gpt-5.5,low,observational-memory-gpt54-low,anko-default-function-arguments,2,search_failure,0,0.9917355371900827,38,0,,,0.0,14
gpt-5.5,low,observational-memory-gpt54-low,awilix-async-container-initialization,0,solved,1,1.0,29,8,9,21,0.333,15
gpt-5.5,low,observational-memory-gpt54-low,awilix-async-container-initialization,1,found_then_lost,0,0.9946236559139785,40,11,10,27,0.267,15
gpt-5.5,low,observational-memory-gpt54-low,awilix-async-container-initialization,2,solved,1,1.0,33,8,8,20,0.267,15
gpt-5.5,low,observational-memory-gpt54-low,boa-hierarchical-evaluation-cancellation,0,solved,1,1.0,60,8,26,52,0.41,39
gpt-5.5,low,observational-memory-gpt54-low,boa-hierarchical-evaluation-cancellation,1,found_kept_failed,0,0.2916666666666667,63,11,28,59,0.41,39
gpt-5.5,low,observational-memory-gpt54-low,boa-hierarchical-evaluation-cancellation,2,found_kept_failed,0,0.875,69,18,22,61,0.462,39
gpt-5.5,low,observational-memory-gpt54-low,cattrs-partial-structuring-recovery,0,solved,1,1.0,40,13,1,36,0.2,20
gpt-5.5,low,observational-memory-gpt54-low,cattrs-partial-structuring-recovery,1,found_kept_failed,0,0.9736842105263158,47,17,2,41,0.25,20
