task,config,best_config,obs_count,best_obs_count,obs_count_ratio,obs_tokens,best_obs_tokens,centroid_similarity,centroid_distance,semantic_precision_vs_best,semantic_recall_vs_best,semantic_f1_vs_best,has_observations
yjs-map-conflict-detection,observational-memory-gpt55-off,observational-memory-gpt54mini-low,61,51,1.196078431372549,2935,2042,0.9875714182853699,0.012428581714630127,0.863632082939148,0.8496108055114746,0.8565640687585783,True
actionlint-action-pinning-lint,observational-memory-gpt55-xhigh,observational-memory-gpt54mini-low,36,38,0.9473684210526315,1563,1589,0.9818950891494751,0.018104910850524902,0.8312813639640808,0.8553069233894348,0.8431230208514573,True
anko-default-function-arguments,observational-memory-gpt55-xhigh,observational-memory-gpt54mini-low,49,26,1.8846153846153846,1952,1079,0.9568724632263184,0.04312753677368164,0.7590062618255615,0.781270444393158,0.769977442467979,True
awilix-async-container-initialization,observational-memory-gpt55-xhigh,observational-memory-gpt54mini-low,66,22,3.0,3624,1041,0.9457714557647705,0.05422854423522949,0.7765722870826721,0.8719446659088135,0.8214996663341454,True
boa-hierarchical-evaluation-cancellation,observational-memory-gpt55-xhigh,observational-memory-gpt54mini-low,73,48,1.5208333333333333,2911,1998,0.9581592082977295,0.04184079170227051,0.7627662420272827,0.7867908477783203,0.7745923040455623,True
cattrs-partial-structuring-recovery,observational-memory-gpt55-xhigh,observational-memory-gpt54mini-low,33,40,0.825,1703,1753,0.9718766808509827,0.028123319149017334,0.8343913555145264,0.7983671426773071,0.8159818406880051,True
dynamodb-toolbox-lazy-recursive-schemas,observational-memory-gpt55-xhigh,observational-memory-gpt54mini-low,91,55,1.6545454545454545,5041,2130,0.9695868492126465,0.030413150787353516,0.8121544122695923,0.8141877055168152,0.8131697878563832,True
fastapi-implicit-head-options,observational-memory-gpt55-xhigh,observational-memory-gpt54mini-low,94,52,1.8076923076923077,3958,2302,0.9836146831512451,0.016385316848754883,0.8123399615287781,0.8692837357521057,0.8398477228886342,True
httpx-streaming-json-iteration,observational-memory-gpt55-xhigh,observational-memory-gpt54mini-low,0,31,0.0,0,1309,nan,nan,nan,nan,nan,False
kgateway-consistent-hash-policy,observational-memory-gpt55-xhigh,observational-memory-gpt54mini-low,60,25,2.4,2503,1188,0.9536238312721252,0.046376168727874756,0.7414577603340149,0.8494009375572205,0.7917672608153251,True
mashumaro-flattened-dataclass-fields,observational-memory-gpt55-xhigh,observational-memory-gpt54mini-low,22,44,0.5,883,1746,0.9691998958587646,0.03080010414123535,0.8701512813568115,0.7867465615272522,0.8263497131777073,True
ts-pattern-match-each,observational-memory-gpt55-xhigh,observational-memory-gpt54mini-low,0,30,0.0,0,1118,nan,nan,nan,nan,nan,False
yjs-map-conflict-detection,observational-memory-gpt55-xhigh,observational-memory-gpt54mini-low,14,51,0.27450980392156865,591,2042,0.9650161862373352,0.034983813762664795,0.851922333240509,0.7393259406089783,0.7916404884137027,True
