task,rep,baseline_reward_binary,goal_reward_binary,delta_binary,baseline_reward_partial,goal_reward_partial,delta_partial,baseline_f2p,goal_f2p,delta_f2p,baseline_p2p,goal_p2p,delta_p2p,baseline_total_tokens,goal_total_tokens,delta_total_tokens,baseline_combined_total_tokens,goal_combined_total_tokens,delta_combined_total_tokens,baseline_cost_usd,goal_cost_usd,delta_cost_usd,baseline_combined_cost_usd,goal_combined_cost_usd,delta_combined_cost_usd,baseline_agent_wall_s,goal_agent_wall_s,delta_agent_wall_s,baseline_turns,goal_turns,delta_turns,baseline_tool_calls,goal_tool_calls,delta_tool_calls,baseline_patch_bytes,goal_patch_bytes,delta_patch_bytes,baseline_agent_exit,goal_agent_exit,baseline_timed_out,goal_timed_out,baseline_verifier_exit,goal_verifier_exit
tengo-callable-instance-isolation,2,0,0,0,0.8689655172413793,0.9862068965517241,0.11724137931034484,0.17391304347826086,0.9130434782608695,0.7391304347826086,1.0,1.0,0.0,658407,1967675,1309268,658407,1967675,1309268,0.97489,2.391537,1.416647,0.97489,2.391537,1.416647,206.7,396.7,190.0,49,78,29,48,77,29,10141,10648,507,0,0,False,False,0,0
httpx-multipart-response-parsing,0,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,583359,1197289,613930,583359,1197289,613930,0.783297,1.521698,0.738401,0.783297,1.521698,0.738401,203.6,311.8,108.20000000000002,37,47,10,36,47,11,11943,14775,2832,0,0,False,False,0,0
httpx-multipart-response-parsing,1,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,485455,1110442,624987,485455,1110442,624987,0.837085,1.551301,0.7142160000000001,0.837085,1.551301,0.7142160000000001,459.0,315.2,-143.8,37,48,11,36,46,10,11584,14153,2569,0,0,False,False,0,0
httpx-multipart-response-parsing,2,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,229340,1050519,821179,229340,1050519,821179,0.370572,1.223615,0.8530429999999999,0.370572,1.223615,0.8530429999999999,131.5,270.8,139.3,20,48,28,19,46,27,8874,13523,4649,0,0,False,False,0,0
dynamodb-toolbox-conditional-attribute-requirements,0,0,0,0,0.9838212634822804,0.9969183359013868,0.013097072419106404,0.8064516129032258,0.8709677419354839,0.06451612903225812,0.9881610102604578,1.0,0.011838989739542227,2646718,5131292,2484574,2646718,5131292,2484574,2.41141,4.801094,2.389684,2.41141,4.801094,2.389684,434.5,1173.9,739.4000000000001,68,103,35,67,101,34,28782,43321,14539,0,0,False,False,0,0
dynamodb-toolbox-conditional-attribute-requirements,1,0,1,1,0.9899845916795069,1.0,0.01001540832049308,0.5806451612903226,1.0,0.4193548387096774,1.0,1.0,0.0,1732035,4546723,2814688,1732035,4546723,2814688,1.862908,3.99697,2.134062,1.862908,3.99697,2.134062,1014.3,949.3,-65.0,66,95,29,65,95,30,34934,49991,15057,0,0,False,False,0,0
dynamodb-toolbox-conditional-attribute-requirements,2,0,0,0,0.9946070878274268,0.9992295839753467,0.0046224961479198745,0.7741935483870968,0.967741935483871,0.19354838709677424,1.0,1.0,0.0,1246630,6159115,4912485,1246630,6159115,4912485,1.560021,5.045203,3.485182,1.560021,5.045203,3.485182,558.1,1323.3,765.1999999999999,56,116,60,55,115,60,27064,52975,25911,0,0,False,False,0,0
etree-xml-diff-patch,0,0,0,0,0.9402985074626866,0.9104477611940298,-0.029850746268656803,0.9230769230769231,0.8846153846153846,-0.03846153846153855,1.0,1.0,0.0,161639,295122,133483,161639,295122,133483,0.483454,0.77538,0.29192599999999996,0.483454,0.77538,0.29192599999999996,128.0,226.9,98.9,18,24,6,17,25,8,17593,23054,5461,0,0,False,False,0,0
etree-xml-diff-patch,1,0,0,0,0.9253731343283582,0.2537313432835821,-0.6716417910447761,0.9038461538461539,0.038461538461538464,-0.8653846153846154,1.0,1.0,0.0,193539,471137,277598,193539,471137,277598,0.424474,0.816406,0.39193199999999995,0.424474,0.816406,0.39193199999999995,135.0,224.7,89.69999999999999,20,24,4,19,28,9,16068,23590,7522,0,0,False,False,0,0
etree-xml-diff-patch,2,0,0,0,0.9850746268656716,0.9402985074626866,-0.04477611940298498,0.9807692307692307,0.9230769230769231,-0.0576923076923076,1.0,1.0,0.0,256852,796187,539335,256852,796187,539335,0.525612,1.419205,0.8935930000000001,0.525612,1.419205,0.8935930000000001,180.5,318.5,138.0,23,41,18,22,41,19,17277,24938,7661,0,0,False,False,0,0
adaptix-name-mapping-aliases,0,0,0,0,0.9960460100647016,0.9992810927390366,0.0032350826743350325,0.75,0.9545454545454546,0.20454545454545459,1.0,1.0,0.0,1021778,3850441,2828663,1021778,3850441,2828663,1.291236,3.484646,2.19341,1.291236,3.484646,2.19341,194.4,571.3,376.9,47,99,52,46,97,51,10571,21621,11050,0,0,False,False,0,0
adaptix-name-mapping-aliases,1,0,1,1,0.9982027318475917,1.0,0.0017972681524083267,0.8863636363636364,1.0,0.11363636363636365,1.0,1.0,0.0,2234471,4907949,2673478,2234471,4907949,2673478,1.856872,4.053977,2.1971049999999996,1.856872,4.053977,2.1971049999999996,348.9,709.3,360.4,69,110,41,68,108,40,14969,20890,5921,0,0,False,False,0,0
adaptix-name-mapping-aliases,2,0,0,0,0.9974838245866283,0.9992810927390366,0.0017972681524083267,0.8409090909090909,0.9545454545454546,0.11363636363636365,1.0,1.0,0.0,2028242,4218495,2190253,2028242,4218495,2190253,1.918881,3.973777,2.0548960000000003,1.918881,3.973777,2.0548960000000003,299.0,812.7,513.7,75,110,35,74,107,33,15430,20667,5237,0,0,False,False,0,0
goreleaser-retry-publish-auditing,0,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,803500,1552601,749101,803500,1552601,749101,1.002893,1.881196,0.8783030000000001,1.002893,1.881196,0.8783030000000001,230.2,431.6,201.40000000000003,44,55,11,43,56,13,13090,19283,6193,0,0,False,False,0,0
goreleaser-retry-publish-auditing,1,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,590204,1787001,1196797,590204,1787001,1196797,0.745407,1.877618,1.1322109999999999,0.745407,1.877618,1.1322109999999999,229.7,433.1,203.40000000000003,40,62,22,39,61,22,12388,20438,8050,0,0,False,False,0,0
goreleaser-retry-publish-auditing,2,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,592477,1440840,848363,592477,1440840,848363,0.708133,1.820212,1.112079,0.708133,1.820212,1.112079,172.7,443.5,270.8,40,59,19,39,59,20,12190,18431,6241,0,0,False,False,0,0
yjs-map-conflict-detection,0,0,1,1,0.9958333333333333,1.0,0.004166666666666652,0.8888888888888888,1.0,0.11111111111111116,1.0,1.0,0.0,1049194,5555499,4506305,1049194,5555499,4506305,1.434841,5.152437,3.717596,1.434841,5.152437,3.717596,289.5,660.1,370.6,48,104,56,47,102,55,9922,18108,8186,0,0,False,False,0,0
yjs-map-conflict-detection,1,0,1,1,0.9958333333333333,1.0,0.004166666666666652,0.8888888888888888,1.0,0.11111111111111116,1.0,1.0,0.0,827379,2175501,1348122,827379,2175501,1348122,0.914838,2.513525,1.598687,0.914838,2.513525,1.598687,211.5,380.6,169.10000000000002,38,69,31,37,68,31,9233,18473,9240,0,0,False,False,0,0
yjs-map-conflict-detection,2,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1186515,2550819,1364304,1186515,2550819,1364304,1.021315,2.776396,1.7550810000000001,1.021315,2.776396,1.7550810000000001,235.3,450.2,214.89999999999998,51,78,27,50,76,26,10068,18439,8371,0,0,False,False,0,0
wazero-multi-module-snapshots,0,0,1,1,0.975,1.0,0.025000000000000022,0.9743589743589743,1.0,0.02564102564102566,1.0,1.0,0.0,168873,471768,302895,168873,471768,302895,0.336068,0.705767,0.36969900000000006,0.336068,0.705767,0.36969900000000006,163.2,296.8,133.60000000000002,22,35,13,21,37,16,9789,13748,3959,0,0,False,False,0,0
wazero-multi-module-snapshots,1,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,129540,753270,623730,129540,753270,623730,0.315331,1.144379,0.829048,0.315331,1.144379,0.829048,145.9,354.5,208.6,19,48,29,18,46,28,8455,16000,7545,0,0,False,False,0,0
wazero-multi-module-snapshots,2,1,0,-1,1.0,0.975,-0.025000000000000022,1.0,0.9743589743589743,-0.02564102564102566,1.0,1.0,0.0,140803,514190,373387,140803,514190,373387,0.335833,0.964608,0.6287750000000001,0.335833,0.964608,0.6287750000000001,172.8,321.3,148.5,19,37,18,18,36,18,9058,16087,7029,0,0,False,False,0,0
actionlint-action-pinning-lint,0,0,1,1,0.995,1.0,0.0050000000000000044,1.0,1.0,0.0,0.993103448275862,1.0,0.006896551724137945,551137,2670640,2119503,551137,2670640,2119503,0.812524,2.765313,1.9527889999999999,0.812524,2.765313,1.9527889999999999,200.0,495.7,295.7,38,81,43,37,80,43,13684,23169,9485,0,0,False,False,0,0
actionlint-action-pinning-lint,1,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,498115,1758796,1260681,498115,1758796,1260681,0.660384,1.876755,1.216371,0.660384,1.876755,1.216371,172.8,323.1,150.3,38,61,23,37,59,22,12733,21010,8277,0,0,False,False,0,0
actionlint-action-pinning-lint,2,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,756978,2078270,1321292,756978,2078270,1321292,0.934527,2.115558,1.181031,0.934527,2.115558,1.181031,157.2,367.7,210.5,26,69,43,28,71,43,13890,24181,10291,0,0,False,False,0,0
sql-formatter-bigquery-pipe-formatting,0,1,0,-1,1.0,0.9998256320836966,-0.00017436791630343063,1.0,0.9615384615384616,-0.038461538461538436,1.0,1.0,0.0,1283725,3192000,1908275,1283725,3192000,1908275,1.420676,3.124283,1.703607,1.420676,3.124283,1.703607,269.0,484.4,215.39999999999998,49,72,23,48,70,22,8763,14782,6019,0,0,False,False,0,0
sql-formatter-bigquery-pipe-formatting,1,0,1,1,0.9994768962510898,1.0,0.0005231037489101809,0.9615384615384616,1.0,0.038461538461538436,0.999649675950254,1.0,0.00035032404974599807,912983,3436733,2523750,912983,3436733,2523750,1.026825,3.504313,2.4774879999999997,1.026825,3.504313,2.4774879999999997,198.9,491.2,292.29999999999995,41,76,35,40,74,34,7789,10548,2759,0,0,False,False,0,0
sql-formatter-bigquery-pipe-formatting,2,0,1,1,0.9994768962510898,1.0,0.0005231037489101809,0.9615384615384616,1.0,0.038461538461538436,0.999649675950254,1.0,0.00035032404974599807,910629,1700562,789933,910629,1700562,789933,1.124102,1.998887,0.8747850000000001,1.124102,1.998887,0.8747850000000001,186.4,380.2,193.79999999999998,40,54,14,39,52,13,8893,10407,1514,0,0,False,False,0,0
drizzle-orm-window-function-builders,0,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,614883,2671453,2056570,614883,2671453,2056570,0.75817,2.890806,2.1326359999999998,0.75817,2.890806,2.1326359999999998,218.8,674.3,455.49999999999994,48,71,23,47,71,24,26286,32642,6356,0,0,False,False,0,0
drizzle-orm-window-function-builders,1,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1339824,2203323,863499,1339824,2203323,863499,1.642166,2.48539,0.8432240000000002,1.642166,2.48539,0.8432240000000002,488.1,593.0,104.89999999999998,68,77,9,67,75,8,27925,28714,789,0,0,False,False,0,0
drizzle-orm-window-function-builders,2,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,898248,2037345,1139097,898248,2037345,1139097,1.108057,2.271699,1.1636419999999998,1.108057,2.271699,1.1636419999999998,385.7,554.5,168.8,58,60,2,57,62,5,24741,36199,11458,0,0,False,False,0,0
psd-tools-blend-range-api,0,0,1,1,0.9970703125,1.0,0.0029296875,0.9333333333333333,1.0,0.06666666666666665,1.0,1.0,0.0,451887,2000210,1548323,451887,2000210,1548323,0.646985,2.108604,1.4616190000000002,0.646985,2.108604,1.4616190000000002,235.6,465.3,229.70000000000002,34,64,30,33,66,33,13329,20965,7636,0,0,False,False,0,0
psd-tools-blend-range-api,1,0,0,0,0.998046875,0.9970703125,-0.0009765625,0.9555555555555556,0.9333333333333333,-0.022222222222222254,1.0,1.0,0.0,396461,1175983,779522,396461,1175983,779522,0.594742,1.477334,0.8825919999999999,0.594742,1.477334,0.8825919999999999,189.9,365.0,175.1,30,46,16,29,48,19,13575,18256,4681,0,0,False,False,0,0
psd-tools-blend-range-api,2,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,394346,1042039,647693,394346,1042039,647693,0.641692,1.489815,0.8481229999999998,0.641692,1.489815,0.8481229999999998,204.2,420.1,215.90000000000003,31,38,7,30,40,10,14494,20664,6170,0,0,False,False,0,0
true-myth-iterable-collection-combinators,0,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,576680,2382684,1806004,576680,2382684,1806004,0.964912,1.857947,0.893035,0.964912,1.857947,0.893035,197.7,285.9,88.19999999999999,36,41,5,35,45,10,13343,20110,6767,0,0,False,False,0,0
true-myth-iterable-collection-combinators,1,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,811419,918328,106909,811419,918328,106909,1.160003,1.345734,0.1857310000000001,1.160003,1.345734,0.1857310000000001,302.4,283.8,-18.599999999999966,42,29,-13,41,34,-7,12091,20423,8332,0,0,False,False,0,0
true-myth-iterable-collection-combinators,2,1,1,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1301281,2187777,886496,1301281,2187777,886496,1.174828,2.548354,1.3735259999999998,1.174828,2.548354,1.3735259999999998,207.8,480.1,272.3,26,65,39,28,65,37,13513,20973,7460,0,0,False,False,0,0
