task,rep,title,difficulty,language,pass_rate,delivery,baseline_reward_binary,baseline_reward_partial,baseline_f2p,baseline_p2p,baseline_combined_total_tokens,baseline_combined_cost_usd,baseline_agent_wall_s,baseline_turns,baseline_tool_calls,baseline_patch_bytes,pi_fabric_reward_binary,pi_fabric_reward_partial,pi_fabric_f2p,pi_fabric_p2p,pi_fabric_combined_total_tokens,pi_fabric_combined_cost_usd,pi_fabric_agent_wall_s,pi_fabric_turns,pi_fabric_tool_calls,pi_fabric_patch_bytes,delta_reward_binary,delta_reward_partial,delta_f2p,delta_p2p,delta_combined_total_tokens,delta_combined_cost_usd,delta_agent_wall_s,delta_turns,delta_tool_calls,delta_patch_bytes
httpx-multipart-response-parsing,0,Add multipart response parsing to HTTPX,medium,python,62,delivered,1,1.0,1.0,1.0,319883,0.459727,157.5,17,23,9384,1,1.0,1.0,1.0,752214,0.94889,310.7,28,27,16003,0.0,0.0,0.0,0.0,432331.0,0.489163,153.2,11.0,4.0,6619.0
httpx-multipart-response-parsing,1,Add multipart response parsing to HTTPX,medium,python,62,delivered,1,1.0,1.0,1.0,309469,0.456662,154.9,17,24,7876,1,1.0,1.0,1.0,520436,0.726942,207.8,18,17,11878,0.0,0.0,0.0,0.0,210967.0,0.27027999999999996,52.900000000000006,1.0,-7.0,4002.0
httpx-multipart-response-parsing,2,Add multipart response parsing to HTTPX,medium,python,62,delivered,1,1.0,1.0,1.0,339150,0.514397,187.3,20,30,8992,1,1.0,1.0,1.0,381526,0.666515,239.7,19,18,9402,0.0,0.0,0.0,0.0,42376.0,0.15211799999999998,52.39999999999998,-1.0,-12.0,410.0
dynamodb-toolbox-conditional-attribute-requirements,0,Add conditional required attributes to schemas,medium,typescript,65,delivered,0,0.9992295839753467,0.967741935483871,1.0,1566990,1.491653,512.6,40,57,35538,1,1.0,1.0,1.0,1075882,1.132005,545.6,29,28,38204,1.0,0.0007704160246533309,0.032258064516129004,0.0,-491108.0,-0.35964799999999997,33.0,-11.0,-29.0,2666.0
dynamodb-toolbox-conditional-attribute-requirements,1,Add conditional required attributes to schemas,medium,typescript,65,delivered,0,0.9946070878274268,0.7741935483870968,1.0,1030670,1.013184,282.7,37,45,27505,0,0.9992295839753467,0.967741935483871,1.0,1786617,1.599542,654.3,41,40,36889,0.0,0.0046224961479198745,0.19354838709677424,0.0,755947.0,0.5863579999999999,371.59999999999997,4.0,-5.0,9384.0
dynamodb-toolbox-conditional-attribute-requirements,2,Add conditional required attributes to schemas,medium,typescript,65,delivered,0,0.9992295839753467,0.967741935483871,1.0,1664950,1.712048,565.6,48,62,37390,0,0.9984591679506933,0.9354838709677419,1.0,1190321,1.218693,508.8,27,26,32137,0.0,-0.0007704160246533309,-0.032258064516129115,0.0,-474629.0,-0.493355,-56.80000000000001,-21.0,-36.0,-5253.0
etree-xml-diff-patch,0,"Add XML diff, patch, and merge operations to etree",easy,go,68,delivered,0,0.9253731343283582,0.9038461538461539,1.0,176742,0.489411,181.0,18,18,22094,1,1.0,1.0,1.0,274506,0.599361,231.3,18,17,22009,1.0,0.07462686567164178,0.09615384615384615,0.0,97764.0,0.10995000000000005,50.30000000000001,0.0,-1.0,-85.0
etree-xml-diff-patch,1,"Add XML diff, patch, and merge operations to etree",easy,go,68,delivered,0,0.9552238805970149,0.9423076923076923,1.0,93423,0.287504,123.9,12,12,17246,1,1.0,1.0,1.0,206056,0.545945,173.3,15,14,19048,1.0,0.04477611940298509,0.05769230769230771,0.0,112633.0,0.25844100000000003,49.400000000000006,3.0,2.0,1802.0
etree-xml-diff-patch,2,"Add XML diff, patch, and merge operations to etree",easy,go,68,delivered,1,1.0,1.0,1.0,184232,0.476121,161.3,17,18,19316,0,0.9850746268656716,0.9807692307692307,1.0,301312,0.578162,177.8,14,13,21583,-1.0,-0.014925373134328401,-0.019230769230769273,0.0,117080.0,0.10204099999999994,16.5,-3.0,-5.0,2267.0
adaptix-name-mapping-aliases,0,Add input key aliases to name mapping,easy,python,69,delivered,0,0.0,0.0,0.0,1145956,1.26168,251.9,38,44,12213,0,0.9992810927390366,0.9545454545454546,1.0,1556422,1.525346,317.4,37,36,16628,0.0,0.9992810927390366,0.9545454545454546,1.0,410466.0,0.2636660000000002,65.49999999999997,-1.0,-8.0,4415.0
adaptix-name-mapping-aliases,1,Add input key aliases to name mapping,easy,python,69,delivered,0,0.9992810927390366,0.9545454545454546,1.0,1091024,1.018028,255.9,42,47,10230,0,0.9992810927390366,0.9545454545454546,1.0,1888877,1.904707,425.1,37,36,14102,0.0,0.0,0.0,0.0,797853.0,0.886679,169.20000000000002,-5.0,-11.0,3872.0
adaptix-name-mapping-aliases,2,Add input key aliases to name mapping,easy,python,69,delivered,0,0.9992810927390366,0.9545454545454546,1.0,1397123,1.253051,236.8,43,48,12963,0,0.9992810927390366,0.9545454545454546,1.0,2291648,2.026371,538.7,54,53,16919,0.0,0.0,0.0,0.0,894525.0,0.7733200000000002,301.90000000000003,11.0,5.0,3956.0
goreleaser-retry-publish-auditing,0,Add retry-aware publishing audit logs,easy,go,69,delivered,1,1.0,1.0,1.0,634520,0.745679,309.1,29,34,13218,1,1.0,1.0,1.0,1004263,1.106794,372.6,28,27,13829,0.0,0.0,0.0,0.0,369743.0,0.3611150000000001,63.5,-1.0,-7.0,611.0
goreleaser-retry-publish-auditing,1,Add retry-aware publishing audit logs,easy,go,69,delivered,1,1.0,1.0,1.0,387303,0.614133,304.4,25,29,11645,1,1.0,1.0,1.0,740892,0.921928,255.8,21,20,12949,0.0,0.0,0.0,0.0,353589.0,0.30779499999999993,-48.599999999999966,-4.0,-9.0,1304.0
goreleaser-retry-publish-auditing,2,Add retry-aware publishing audit logs,easy,go,69,delivered,0,0.5344827586206896,0.06896551724137931,1.0,423861,0.658233,343.6,26,30,13065,0,0.5344827586206896,0.06896551724137931,1.0,1182139,1.258464,442.5,32,31,14784,0.0,0.0,0.0,0.0,758278.0,0.6002310000000001,98.89999999999998,6.0,1.0,1719.0
yjs-map-conflict-detection,0,Add deterministic map conflict detection to Y.Map writes,easy,javascript,71,delivered,1,1.0,1.0,1.0,1418845,1.274506,304.3,41,47,14561,1,1.0,1.0,1.0,1130152,1.241923,240.3,24,23,12853,0.0,0.0,0.0,0.0,-288693.0,-0.03258299999999981,-64.0,-17.0,-24.0,-1708.0
yjs-map-conflict-detection,1,Add deterministic map conflict detection to Y.Map writes,easy,javascript,71,delivered,1,1.0,1.0,1.0,570466,0.814263,205.4,28,35,10831,1,1.0,1.0,1.0,746504,0.843605,268.1,25,24,10903,0.0,0.0,0.0,0.0,176038.0,0.02934200000000009,62.70000000000002,-3.0,-11.0,72.0
yjs-map-conflict-detection,2,Add deterministic map conflict detection to Y.Map writes,easy,javascript,71,delivered,1,1.0,1.0,1.0,898931,0.945687,256.9,39,49,11518,1,1.0,1.0,1.0,1127262,1.192413,349.5,31,30,14596,0.0,0.0,0.0,0.0,228331.0,0.2467259999999999,92.60000000000002,-8.0,-19.0,3078.0
wazero-multi-module-snapshots,0,Add multi-module memory snapshots to wazero,easy,go,73,delivered,1,1.0,1.0,1.0,87549,0.305837,214.7,12,15,10217,1,1.0,1.0,1.0,135012,0.413172,196.8,13,12,11025,0.0,0.0,0.0,0.0,47463.0,0.10733499999999996,-17.899999999999977,1.0,-3.0,808.0
wazero-multi-module-snapshots,1,Add multi-module memory snapshots to wazero,easy,go,73,delivered,1,1.0,1.0,1.0,110035,0.355288,205.8,13,16,10132,1,1.0,1.0,1.0,117712,0.331717,234.1,12,11,12375,0.0,0.0,0.0,0.0,7677.0,-0.02357100000000001,28.299999999999983,-1.0,-5.0,2243.0
wazero-multi-module-snapshots,2,Add multi-module memory snapshots to wazero,easy,go,73,delivered,1,1.0,1.0,1.0,133767,0.360174,205.4,15,19,9910,0,0.9875,0.9871794871794872,1.0,134741,0.447092,255.8,12,11,10325,-1.0,-0.012499999999999956,-0.012820512820512775,0.0,974.0,0.086918,50.400000000000006,-3.0,-8.0,415.0
actionlint-action-pinning-lint,0,Add action pinning linting for actions and reusable workflows,easy,go,82,delivered,1,1.0,1.0,1.0,485699,0.608491,164.9,26,32,13411,1,1.0,1.0,1.0,1483208,1.522469,354.7,31,30,22119,0.0,0.0,0.0,0.0,997509.0,0.9139780000000001,189.79999999999998,5.0,-2.0,8708.0
actionlint-action-pinning-lint,1,Add action pinning linting for actions and reusable workflows,easy,go,82,delivered,1,1.0,1.0,1.0,625730,0.739519,200.3,30,37,15764,1,1.0,1.0,1.0,712573,0.92354,253.2,19,18,19510,0.0,0.0,0.0,0.0,86843.0,0.184021,52.89999999999998,-11.0,-19.0,3746.0
actionlint-action-pinning-lint,2,Add action pinning linting for actions and reusable workflows,easy,go,82,delivered,1,1.0,1.0,1.0,921378,0.962322,256.7,29,42,19496,0,0.99,0.9818181818181818,0.993103448275862,1351704,1.495194,361.1,21,20,19493,-1.0,-0.010000000000000009,-0.018181818181818188,-0.006896551724137945,430326.0,0.5328719999999999,104.40000000000003,-8.0,-22.0,-3.0
sql-formatter-bigquery-pipe-formatting,0,Format BigQuery pipe syntax queries correctly,easy,typescript,83,delivered,1,1.0,1.0,1.0,868852,0.908069,212.8,32,42,10179,1,1.0,1.0,1.0,801865,1.107836,261.1,24,23,10709,0.0,0.0,0.0,0.0,-66987.0,0.19976700000000003,48.30000000000001,-8.0,-19.0,530.0
sql-formatter-bigquery-pipe-formatting,1,Format BigQuery pipe syntax queries correctly,easy,typescript,83,delivered,1,1.0,1.0,1.0,771423,0.834805,206.2,29,37,9855,0,0.9998256320836966,0.9615384615384616,1.0,942313,1.185592,360.0,25,24,10137,-1.0,-0.00017436791630343063,-0.038461538461538436,0.0,170890.0,0.35078699999999996,153.8,-4.0,-13.0,282.0
sql-formatter-bigquery-pipe-formatting,2,Format BigQuery pipe syntax queries correctly,easy,typescript,83,delivered,1,1.0,1.0,1.0,1008384,1.015888,230.5,33,41,9657,1,1.0,1.0,1.0,973986,1.116271,271.0,20,19,15583,0.0,0.0,0.0,0.0,-34398.0,0.10038300000000011,40.5,-13.0,-22.0,5926.0
drizzle-orm-window-function-builders,0,Add typed window function builders with OVER clauses,easy,typescript,85,delivered,1,1.0,1.0,1.0,416394,0.65988,200.9,30,35,22913,1,1.0,1.0,1.0,1675195,1.636092,290.4,30,29,26797,0.0,0.0,0.0,0.0,1258801.0,0.9762120000000001,89.49999999999997,0.0,-6.0,3884.0
drizzle-orm-window-function-builders,1,Add typed window function builders with OVER clauses,easy,typescript,85,delivered,1,1.0,1.0,1.0,289410,0.494486,154.2,19,29,21628,1,1.0,1.0,1.0,903319,1.038083,272.2,21,20,24236,0.0,0.0,0.0,0.0,613909.0,0.5435970000000001,118.0,2.0,-9.0,2608.0
drizzle-orm-window-function-builders,2,Add typed window function builders with OVER clauses,easy,typescript,85,delivered,0,0.9885057471264368,0.9384615384615385,1.0,226598,0.406876,186.4,21,27,16193,1,1.0,1.0,1.0,1305583,1.37828,372.2,30,29,26223,1.0,0.011494252873563204,0.06153846153846154,0.0,1078985.0,0.9714039999999999,185.79999999999998,9.0,2.0,10030.0
psd-tools-blend-range-api,0,Add typed blend range access and blend-if compositing,easy,python,86,delivered,1,1.0,1.0,1.0,200330,0.448571,174.2,15,20,14170,1,1.0,1.0,1.0,770414,0.916103,232.1,17,16,13397,0.0,0.0,0.0,0.0,570084.0,0.467532,57.900000000000006,2.0,-4.0,-773.0
psd-tools-blend-range-api,1,Add typed blend range access and blend-if compositing,easy,python,86,delivered,1,1.0,1.0,1.0,320453,0.593699,216.4,22,25,10599,0,0.9921875,0.8222222222222222,1.0,392438,0.609639,305.4,16,15,12948,-1.0,-0.0078125,-0.1777777777777778,0.0,71985.0,0.015940000000000065,88.99999999999997,-6.0,-10.0,2349.0
psd-tools-blend-range-api,2,Add typed blend range access and blend-if compositing,easy,python,86,delivered,1,1.0,1.0,1.0,323922,0.556515,194.7,22,32,11158,1,1.0,1.0,1.0,723845,0.898698,302.8,16,15,13540,0.0,0.0,0.0,0.0,399923.0,0.342183,108.10000000000002,-6.0,-17.0,2382.0
true-myth-iterable-collection-combinators,0,Add iterable collection combinators to true-myth,easy,typescript,91,delivered,1,1.0,1.0,1.0,342927,0.504657,140.6,19,29,11952,1,1.0,1.0,1.0,446744,0.683089,174.0,14,13,11989,0.0,0.0,0.0,0.0,103817.0,0.17843199999999992,33.400000000000006,-5.0,-16.0,37.0
true-myth-iterable-collection-combinators,1,Add iterable collection combinators to true-myth,easy,typescript,91,delivered,1,1.0,1.0,1.0,472223,0.627939,188.5,22,31,12759,1,1.0,1.0,1.0,658147,0.855856,239.8,18,17,12404,0.0,0.0,0.0,0.0,185924.0,0.22791699999999993,51.30000000000001,-4.0,-14.0,-355.0
true-myth-iterable-collection-combinators,2,Add iterable collection combinators to true-myth,easy,typescript,91,delivered,1,1.0,1.0,1.0,374323,0.646985,164.6,18,25,12931,1,1.0,1.0,1.0,604874,0.79981,186.7,16,15,12160,0.0,0.0,0.0,0.0,230551.0,0.152825,22.099999999999994,-2.0,-10.0,-771.0
