task,rep,title,difficulty,language,pass_rate,baseline_reward_binary,baseline_reward_partial,baseline_f2p,baseline_p2p,baseline_f2p_passed,baseline_f2p_total,baseline_p2p_passed,baseline_p2p_total,baseline_combined_total_tokens,baseline_combined_cost_usd,baseline_agent_wall_s,baseline_turns,baseline_tool_calls,baseline_patch_bytes,baseline_agent_timed_out,baseline_agent_exit,baseline_verifier_exit,pi-fabric_reward_binary,pi-fabric_reward_partial,pi-fabric_f2p,pi-fabric_p2p,pi-fabric_f2p_passed,pi-fabric_f2p_total,pi-fabric_p2p_passed,pi-fabric_p2p_total,pi-fabric_combined_total_tokens,pi-fabric_combined_cost_usd,pi-fabric_agent_wall_s,pi-fabric_turns,pi-fabric_tool_calls,pi-fabric_patch_bytes,pi-fabric_agent_timed_out,pi-fabric_agent_exit,pi-fabric_verifier_exit,pi-fabric-pr10@0.28.11_reward_binary,pi-fabric-pr10@0.28.11_reward_partial,pi-fabric-pr10@0.28.11_f2p,pi-fabric-pr10@0.28.11_p2p,pi-fabric-pr10@0.28.11_f2p_passed,pi-fabric-pr10@0.28.11_f2p_total,pi-fabric-pr10@0.28.11_p2p_passed,pi-fabric-pr10@0.28.11_p2p_total,pi-fabric-pr10@0.28.11_combined_total_tokens,pi-fabric-pr10@0.28.11_combined_cost_usd,pi-fabric-pr10@0.28.11_agent_wall_s,pi-fabric-pr10@0.28.11_turns,pi-fabric-pr10@0.28.11_tool_calls,pi-fabric-pr10@0.28.11_patch_bytes,pi-fabric-pr10@0.28.11_agent_timed_out,pi-fabric-pr10@0.28.11_agent_exit,pi-fabric-pr10@0.28.11_verifier_exit,baseline_session_affected,pi-fabric_session_affected,pi-fabric-pr10@0.28.11_session_affected
tengo-destructuring-bindings,1,Add destructuring bindings to Tengo,medium,go,52,1,1.0,1.0,1.0,91,91,132,132,1210297,1.229303,308.1,45,55,18020,False,0,0,1,1.0,1.0,1.0,91,91,132,132,1503308,1.520338,316.9,31,30,16189,False,0,0,0,0.5919282511210763,0.0,1.0,0,91,132,132,71140,0.206985,71.1,8,7,780,False,0,0,False,False,False
tengo-destructuring-bindings,2,Add destructuring bindings to Tengo,medium,go,52,0,0.9775784753363229,0.945054945054945,1.0,86,91,132,132,852987,0.913183,227.2,28,35,23311,False,0,0,1,1.0,1.0,1.0,91,91,132,132,1883295,1.700602,324.5,36,35,16728,False,0,0,1,1.0,1.0,1.0,91,91,132,132,1240714,1.457843,369.2,39,38,17452,False,0,0,False,False,False
fastapi-deprecation-response-headers,0,"Add deprecation, sunset, and successor headers to FastAPI routes",medium,python,54,1,1.0,1.0,1.0,137,137,3134,3134,649645,0.744389,212.7,31,33,27990,False,0,0,1,1.0,1.0,1.0,137,137,3134,3134,610546,0.771809,241.3,23,22,28617,False,0,0,1,1.0,1.0,1.0,137,137,3134,3134,853502,0.980126,268.9,27,26,29225,False,0,0,False,False,False
fastapi-deprecation-response-headers,1,"Add deprecation, sunset, and successor headers to FastAPI routes",medium,python,54,1,1.0,1.0,1.0,137,137,3134,3134,454194,0.678208,186.4,24,27,33244,False,0,0,1,1.0,1.0,1.0,137,137,3134,3134,698607,0.870779,294.2,27,26,27518,False,0,0,1,1.0,1.0,1.0,137,137,3134,3134,965585,1.052919,249.3,25,24,31066,False,0,0,False,False,False
fastapi-deprecation-response-headers,2,"Add deprecation, sunset, and successor headers to FastAPI routes",medium,python,54,1,1.0,1.0,1.0,137,137,3134,3134,308704,0.478493,148.2,20,24,27407,False,0,0,1,1.0,1.0,1.0,137,137,3134,3134,570420,0.714454,195.7,23,22,27830,False,0,0,0,0.9996942830938551,0.9927007299270073,1.0,136,137,3134,3134,649560,0.937216,285.7,30,29,29810,False,0,0,False,False,False
go-git-worktree-merge-conflicts,0,Add worktree merge conflict handling,medium,go,55,0,0.8421052631578947,0.8235294117647058,1.0,14,17,2,2,350122,0.592195,179.9,20,26,12014,False,0,0,0,0.6842105263157895,0.6470588235294118,1.0,11,17,2,2,783341,0.97703,340.8,20,19,14129,False,0,0,0,0.8421052631578947,0.8235294117647058,1.0,14,17,2,2,609811,0.970627,324.4,31,30,14655,False,0,0,False,False,False
go-git-worktree-merge-conflicts,1,Add worktree merge conflict handling,medium,go,55,1,1.0,1.0,1.0,17,17,2,2,391671,0.576254,229.5,23,29,12885,False,0,0,1,1.0,1.0,1.0,17,17,2,2,1189938,1.277343,272.0,22,21,14205,False,0,0,0,0.8947368421052632,0.8823529411764706,1.0,15,17,2,2,549870,0.827275,365.0,23,22,13230,False,0,0,False,False,False
go-git-worktree-merge-conflicts,2,Add worktree merge conflict handling,medium,go,55,0,0.8947368421052632,0.8823529411764706,1.0,15,17,2,2,475261,0.633884,206.8,24,32,11963,False,0,0,1,1.0,1.0,1.0,17,17,2,2,815327,0.953201,264.8,23,22,14877,False,0,0,1,1.0,1.0,1.0,17,17,2,2,346591,0.744896,276.0,17,16,12843,False,0,0,False,False,False
scc-bounded-memory-spilling,0,Add bounded-memory spilling to SCC aggregation,medium,go,60,0,0.9810725552050473,0.967741935483871,0.9825174825174825,30,31,281,286,843839,0.906375,355.8,38,42,13664,False,0,0,1,1.0,1.0,1.0,31,31,286,286,972136,1.126634,330.6,26,25,13541,False,0,0,1,1.0,1.0,1.0,31,31,286,286,439096,0.72188,280.2,21,20,11768,False,0,0,False,False,False
scc-bounded-memory-spilling,1,Add bounded-memory spilling to SCC aggregation,medium,go,60,1,1.0,1.0,1.0,31,31,286,286,442667,0.627637,202.8,16,28,11389,False,0,0,0,0.9968454258675079,0.967741935483871,1.0,30,31,286,286,1486899,1.462188,330.5,28,27,15211,False,0,0,0,0.9905362776025236,0.9032258064516129,1.0,28,31,286,286,261664,0.457396,189.3,15,14,10031,False,0,0,False,False,False
scc-bounded-memory-spilling,2,Add bounded-memory spilling to SCC aggregation,medium,go,60,0,0.9968454258675079,0.967741935483871,1.0,30,31,286,286,897582,0.968644,229.0,25,31,9982,False,0,0,1,1.0,1.0,1.0,31,31,286,286,1495128,1.51149,357.2,33,32,17413,False,0,0,0,0.9842271293375394,1.0,0.9825174825174825,31,31,281,286,742428,0.948489,338.8,29,28,11929,False,0,0,False,False,False
tengo-callable-instance-isolation,0,Fix isolated Go-side calls for Tengo callables and closures,medium,go,60,0,0.993103448275862,0.9565217391304348,1.0,22,23,122,122,569898,0.805905,241.0,30,39,10522,False,0,0,1,1.0,1.0,1.0,23,23,122,122,674893,0.964453,333.1,29,28,15542,False,0,0,1,1.0,1.0,1.0,23,23,122,122,822485,1.097876,374.9,35,34,12841,False,0,0,False,False,False
tengo-callable-instance-isolation,1,Fix isolated Go-side calls for Tengo callables and closures,medium,go,60,0,0.993103448275862,0.9565217391304348,1.0,22,23,122,122,845470,1.102094,282.6,47,52,11344,False,0,0,1,1.0,1.0,1.0,23,23,122,122,880672,0.989232,251.8,26,25,13635,False,0,0,1,1.0,1.0,1.0,23,23,122,122,627465,1.010627,326.7,25,24,15074,False,0,0,False,False,False
tengo-callable-instance-isolation,2,Fix isolated Go-side calls for Tengo callables and closures,medium,go,60,0,0.993103448275862,0.9565217391304348,1.0,22,23,122,122,883204,1.076135,308.0,41,48,13294,False,0,0,0,0.8551724137931035,0.08695652173913043,1.0,2,23,122,122,884645,1.089608,362.8,23,22,14534,False,0,0,1,1.0,1.0,1.0,23,23,122,122,548971,0.739979,282.6,27,26,11131,False,0,0,False,False,False
httpx-multipart-response-parsing,0,Add multipart response parsing to HTTPX,medium,python,62,1,1.0,1.0,1.0,122,122,1272,1272,319883,0.459727,157.5,17,23,9384,False,0,0,1,1.0,1.0,1.0,122,122,1272,1272,752214,0.94889,310.7,28,27,16003,False,0,0,1,1.0,1.0,1.0,122,122,1272,1272,824734,0.979603,299.4,30,29,13701,False,0,0,False,False,False
httpx-multipart-response-parsing,1,Add multipart response parsing to HTTPX,medium,python,62,1,1.0,1.0,1.0,122,122,1272,1272,309469,0.456662,154.9,17,24,7876,False,0,0,1,1.0,1.0,1.0,122,122,1272,1272,520436,0.726942,207.8,18,17,11878,False,0,0,1,1.0,1.0,1.0,122,122,1272,1272,477423,0.877893,241.0,20,19,14594,False,0,0,False,False,False
httpx-multipart-response-parsing,2,Add multipart response parsing to HTTPX,medium,python,62,1,1.0,1.0,1.0,122,122,1272,1272,339150,0.514397,187.3,20,30,8992,False,0,0,1,1.0,1.0,1.0,122,122,1272,1272,381526,0.666515,239.7,19,18,9402,False,0,0,1,1.0,1.0,1.0,122,122,1272,1272,508950,0.712506,243.2,21,20,15562,False,0,0,False,False,False
dynamodb-toolbox-conditional-attribute-requirements,0,Add conditional required attributes to schemas,medium,typescript,65,0,0.9992295839753467,0.967741935483871,1.0,30,31,1267,1267,1566990,1.491653,512.6,40,57,35538,False,0,0,1,1.0,1.0,1.0,31,31,1267,1267,1075882,1.132005,545.6,29,28,38204,False,0,0,0,0.9992295839753467,0.967741935483871,1.0,30,31,1267,1267,1544672,1.419381,906.0,44,39,40385,False,0,0,False,False,True
dynamodb-toolbox-conditional-attribute-requirements,1,Add conditional required attributes to schemas,medium,typescript,65,0,0.9946070878274268,0.7741935483870968,1.0,24,31,1267,1267,1030670,1.013184,282.7,37,45,27505,False,0,0,0,0.9992295839753467,0.967741935483871,1.0,30,31,1267,1267,1786617,1.599542,654.3,41,40,36889,False,0,0,0,0.9992295839753467,0.967741935483871,1.0,30,31,1267,1267,993422,1.115708,1040.7,36,34,49001,False,0,0,False,False,True
dynamodb-toolbox-conditional-attribute-requirements,2,Add conditional required attributes to schemas,medium,typescript,65,0,0.9992295839753467,0.967741935483871,1.0,30,31,1267,1267,1664950,1.712048,565.6,48,62,37390,False,0,0,0,0.9984591679506933,0.9354838709677419,1.0,29,31,1267,1267,1190321,1.218693,508.8,27,26,32137,False,0,0,1,1.0,1.0,1.0,31,31,1267,1267,2306567,2.011012,1230.2,52,51,45207,False,0,0,False,False,False
etree-xml-diff-patch,0,"Add XML diff, patch, and merge operations to etree",easy,go,68,0,0.9253731343283582,0.9038461538461539,1.0,47,52,15,15,176742,0.489411,181.0,18,18,22094,False,0,0,1,1.0,1.0,1.0,52,52,15,15,274506,0.599361,231.3,18,17,22009,False,0,0,1,1.0,1.0,1.0,52,52,15,15,149044,0.411817,399.0,14,11,21038,False,0,0,False,False,True
etree-xml-diff-patch,1,"Add XML diff, patch, and merge operations to etree",easy,go,68,0,0.9552238805970149,0.9423076923076923,1.0,49,52,15,15,93423,0.287504,123.9,12,12,17246,False,0,0,1,1.0,1.0,1.0,52,52,15,15,206056,0.545945,173.3,15,14,19048,False,0,0,0,0.8955223880597015,0.8653846153846154,1.0,45,52,15,15,256795,0.65572,319.2,15,14,20302,False,0,0,False,False,False
etree-xml-diff-patch,2,"Add XML diff, patch, and merge operations to etree",easy,go,68,1,1.0,1.0,1.0,52,52,15,15,184232,0.476121,161.3,17,18,19316,False,0,0,0,0.9850746268656716,0.9807692307692307,1.0,51,52,15,15,301312,0.578162,177.8,14,13,21583,False,0,0,1,1.0,1.0,1.0,52,52,15,15,229722,0.490185,448.0,19,14,21353,False,0,0,False,False,True
adaptix-name-mapping-aliases,0,Add input key aliases to name mapping,easy,python,69,0,0.0,0.0,0.0,0,44,0,2738,1145956,1.26168,251.9,38,44,12213,False,0,0,0,0.9992810927390366,0.9545454545454546,1.0,42,44,2738,2738,1556422,1.525346,317.4,37,36,16628,False,0,0,0,0.9841840402588066,0.0,1.0,0,44,2738,2738,17095,0.078435,147.6,13,3,782,False,0,0,False,False,True
adaptix-name-mapping-aliases,1,Add input key aliases to name mapping,easy,python,69,0,0.9992810927390366,0.9545454545454546,1.0,42,44,2738,2738,1091024,1.018028,255.9,42,47,10230,False,0,0,0,0.9992810927390366,0.9545454545454546,1.0,42,44,2738,2738,1888877,1.904707,425.1,37,36,14102,False,0,0,0,0.9985621854780733,0.9090909090909091,1.0,40,44,2738,2738,1258671,1.483495,705.5,30,29,15787,False,0,0,False,False,False
adaptix-name-mapping-aliases,2,Add input key aliases to name mapping,easy,python,69,0,0.9992810927390366,0.9545454545454546,1.0,42,44,2738,2738,1397123,1.253051,236.8,43,48,12963,False,0,0,0,0.9992810927390366,0.9545454545454546,1.0,42,44,2738,2738,2291648,2.026371,538.7,54,53,16919,False,0,0,0,0.9964054636951833,0.7727272727272727,1.0,34,44,2738,2738,2644216,2.365389,429.6,54,53,20218,False,0,0,False,False,False
goreleaser-retry-publish-auditing,0,Add retry-aware publishing audit logs,easy,go,69,1,1.0,1.0,1.0,29,29,29,29,634520,0.745679,309.1,29,34,13218,False,0,0,1,1.0,1.0,1.0,29,29,29,29,1004263,1.106794,372.6,28,27,13829,False,0,0,1,1.0,1.0,1.0,29,29,29,29,431322,0.63773,295.1,21,20,15166,False,0,0,False,False,False
goreleaser-retry-publish-auditing,1,Add retry-aware publishing audit logs,easy,go,69,1,1.0,1.0,1.0,29,29,29,29,387303,0.614133,304.4,25,29,11645,False,0,0,1,1.0,1.0,1.0,29,29,29,29,740892,0.921928,255.8,21,20,12949,False,0,0,1,1.0,1.0,1.0,29,29,29,29,920188,1.069319,520.2,27,26,15295,False,0,0,False,False,False
goreleaser-retry-publish-auditing,2,Add retry-aware publishing audit logs,easy,go,69,0,0.5344827586206896,0.06896551724137931,1.0,2,29,29,29,423861,0.658233,343.6,26,30,13065,False,0,0,0,0.5344827586206896,0.06896551724137931,1.0,2,29,29,29,1182139,1.258464,442.5,32,31,14784,False,0,0,1,1.0,1.0,1.0,29,29,29,29,1206307,1.266642,585.0,33,32,17433,False,0,0,False,False,False
yjs-map-conflict-detection,0,Add deterministic map conflict detection to Y.Map writes,easy,javascript,71,1,1.0,1.0,1.0,9,9,231,231,1418845,1.274506,304.3,41,47,14561,False,0,0,1,1.0,1.0,1.0,9,9,231,231,1130152,1.241923,240.3,24,23,12853,False,0,0,0,0.9958333333333333,0.8888888888888888,1.0,8,9,231,231,746489,1.02967,322.9,30,29,13694,False,0,0,False,False,False
yjs-map-conflict-detection,1,Add deterministic map conflict detection to Y.Map writes,easy,javascript,71,1,1.0,1.0,1.0,9,9,231,231,570466,0.814263,205.4,28,35,10831,False,0,0,1,1.0,1.0,1.0,9,9,231,231,746504,0.843605,268.1,25,24,10903,False,0,0,1,1.0,1.0,1.0,9,9,231,231,595004,0.776762,282.3,26,25,14943,False,0,0,False,False,False
yjs-map-conflict-detection,2,Add deterministic map conflict detection to Y.Map writes,easy,javascript,71,1,1.0,1.0,1.0,9,9,231,231,898931,0.945687,256.9,39,49,11518,False,0,0,1,1.0,1.0,1.0,9,9,231,231,1127262,1.192413,349.5,31,30,14596,False,0,0,0,0.9916666666666667,0.7777777777777778,1.0,7,9,231,231,503696,0.778437,283.7,28,27,14079,False,0,0,False,False,False
wazero-multi-module-snapshots,0,Add multi-module memory snapshots to wazero,easy,go,73,1,1.0,1.0,1.0,78,78,2,2,87549,0.305837,214.7,12,15,10217,False,0,0,1,1.0,1.0,1.0,78,78,2,2,135012,0.413172,196.8,13,12,11025,False,0,0,1,1.0,1.0,1.0,78,78,2,2,163727,0.415668,352.3,14,13,13969,False,0,0,False,False,False
wazero-multi-module-snapshots,1,Add multi-module memory snapshots to wazero,easy,go,73,1,1.0,1.0,1.0,78,78,2,2,110035,0.355288,205.8,13,16,10132,False,0,0,1,1.0,1.0,1.0,78,78,2,2,117712,0.331717,234.1,12,11,12375,False,0,0,1,1.0,1.0,1.0,78,78,2,2,115654,0.294391,303.6,12,11,10220,False,0,0,False,False,False
wazero-multi-module-snapshots,2,Add multi-module memory snapshots to wazero,easy,go,73,1,1.0,1.0,1.0,78,78,2,2,133767,0.360174,205.4,15,19,9910,False,0,0,0,0.9875,0.9871794871794872,1.0,77,78,2,2,134741,0.447092,255.8,12,11,10325,False,0,0,1,1.0,1.0,1.0,78,78,2,2,151684,0.355101,313.2,11,10,10746,False,0,0,False,False,False
actionlint-action-pinning-lint,0,Add action pinning linting for actions and reusable workflows,easy,go,82,1,1.0,1.0,1.0,55,55,145,145,485699,0.608491,164.9,26,32,13411,False,0,0,1,1.0,1.0,1.0,55,55,145,145,1483208,1.522469,354.7,31,30,22119,False,0,0,0,0.995,1.0,0.993103448275862,55,55,144,145,863755,1.045775,301.9,29,28,21997,False,0,0,False,False,False
actionlint-action-pinning-lint,1,Add action pinning linting for actions and reusable workflows,easy,go,82,1,1.0,1.0,1.0,55,55,145,145,625730,0.739519,200.3,30,37,15764,False,0,0,1,1.0,1.0,1.0,55,55,145,145,712573,0.92354,253.2,19,18,19510,False,0,0,1,1.0,1.0,1.0,55,55,145,145,545753,0.771661,293.2,23,22,21107,False,0,0,False,False,False
actionlint-action-pinning-lint,2,Add action pinning linting for actions and reusable workflows,easy,go,82,1,1.0,1.0,1.0,55,55,145,145,921378,0.962322,256.7,29,42,19496,False,0,0,0,0.99,0.9818181818181818,0.993103448275862,54,55,144,145,1351704,1.495194,361.1,21,20,19493,False,0,0,1,1.0,1.0,1.0,55,55,145,145,1171698,1.274949,391.6,33,32,21565,False,0,0,False,False,False
sql-formatter-bigquery-pipe-formatting,0,Format BigQuery pipe syntax queries correctly,easy,typescript,83,1,1.0,1.0,1.0,26,26,5709,5709,868852,0.908069,212.8,32,42,10179,False,0,0,1,1.0,1.0,1.0,26,26,5709,5709,801865,1.107836,261.1,24,23,10709,False,0,0,0,0.9998256320836966,0.9615384615384616,1.0,25,26,5709,5709,1196617,1.246066,378.2,27,26,12425,False,0,0,False,False,False
sql-formatter-bigquery-pipe-formatting,1,Format BigQuery pipe syntax queries correctly,easy,typescript,83,1,1.0,1.0,1.0,26,26,5709,5709,771423,0.834805,206.2,29,37,9855,False,0,0,0,0.9998256320836966,0.9615384615384616,1.0,25,26,5709,5709,942313,1.185592,360.0,25,24,10137,False,0,0,1,1.0,1.0,1.0,26,26,5709,5709,910402,0.967379,313.1,27,26,10666,False,0,0,False,False,False
sql-formatter-bigquery-pipe-formatting,2,Format BigQuery pipe syntax queries correctly,easy,typescript,83,1,1.0,1.0,1.0,26,26,5709,5709,1008384,1.015888,230.5,33,41,9657,False,0,0,1,1.0,1.0,1.0,26,26,5709,5709,973986,1.116271,271.0,20,19,15583,False,0,0,1,1.0,1.0,1.0,26,26,5709,5709,642264,0.875779,293.3,21,20,12126,False,0,0,False,False,False
drizzle-orm-window-function-builders,0,Add typed window function builders with OVER clauses,easy,typescript,85,1,1.0,1.0,1.0,130,130,566,566,416394,0.65988,200.9,30,35,22913,False,0,0,1,1.0,1.0,1.0,130,130,566,566,1675195,1.636092,290.4,30,29,26797,False,0,0,1,1.0,1.0,1.0,130,130,566,566,679900,0.82823,275.6,23,22,24244,False,0,0,False,False,False
drizzle-orm-window-function-builders,1,Add typed window function builders with OVER clauses,easy,typescript,85,1,1.0,1.0,1.0,130,130,566,566,289410,0.494486,154.2,19,29,21628,False,0,0,1,1.0,1.0,1.0,130,130,566,566,903319,1.038083,272.2,21,20,24236,False,0,0,1,1.0,1.0,1.0,130,130,566,566,582169,0.714988,269.6,25,24,27089,False,0,0,False,False,False
drizzle-orm-window-function-builders,2,Add typed window function builders with OVER clauses,easy,typescript,85,0,0.9885057471264368,0.9384615384615385,1.0,122,130,566,566,226598,0.406876,186.4,21,27,16193,False,0,0,1,1.0,1.0,1.0,130,130,566,566,1305583,1.37828,372.2,30,29,26223,False,0,0,1,1.0,1.0,1.0,130,130,566,566,645769,0.868004,303.7,28,27,24248,False,0,0,False,False,False
psd-tools-blend-range-api,0,Add typed blend range access and blend-if compositing,easy,python,86,1,1.0,1.0,1.0,45,45,979,979,200330,0.448571,174.2,15,20,14170,False,0,0,1,1.0,1.0,1.0,45,45,979,979,770414,0.916103,232.1,17,16,13397,False,0,0,1,1.0,1.0,1.0,45,45,979,979,374226,0.688773,247.9,15,14,16791,False,0,0,False,False,False
psd-tools-blend-range-api,1,Add typed blend range access and blend-if compositing,easy,python,86,1,1.0,1.0,1.0,45,45,979,979,320453,0.593699,216.4,22,25,10599,False,0,0,0,0.9921875,0.8222222222222222,1.0,37,45,979,979,392438,0.609639,305.4,16,15,12948,False,0,0,0,0.9921875,0.8222222222222222,1.0,37,45,979,979,225336,0.531011,215.9,16,15,14714,False,0,0,False,False,False
psd-tools-blend-range-api,2,Add typed blend range access and blend-if compositing,easy,python,86,1,1.0,1.0,1.0,45,45,979,979,323922,0.556515,194.7,22,32,11158,False,0,0,1,1.0,1.0,1.0,45,45,979,979,723845,0.898698,302.8,16,15,13540,False,0,0,0,0.9921875,0.8222222222222222,1.0,37,45,979,979,241710,0.500768,222.5,13,12,12718,False,0,0,False,False,False
true-myth-iterable-collection-combinators,0,Add iterable collection combinators to true-myth,easy,typescript,91,1,1.0,1.0,1.0,96,96,561,561,342927,0.504657,140.6,19,29,11952,False,0,0,1,1.0,1.0,1.0,96,96,561,561,446744,0.683089,174.0,14,13,11989,False,0,0,1,1.0,1.0,1.0,96,96,561,561,462559,0.691565,222.3,16,15,13907,False,0,0,False,False,False
true-myth-iterable-collection-combinators,1,Add iterable collection combinators to true-myth,easy,typescript,91,1,1.0,1.0,1.0,96,96,561,561,472223,0.627939,188.5,22,31,12759,False,0,0,1,1.0,1.0,1.0,96,96,561,561,658147,0.855856,239.8,18,17,12404,False,0,0,1,1.0,1.0,1.0,96,96,561,561,300255,0.523762,177.5,15,14,13040,False,0,0,False,False,False
true-myth-iterable-collection-combinators,2,Add iterable collection combinators to true-myth,easy,typescript,91,1,1.0,1.0,1.0,96,96,561,561,374323,0.646985,164.6,18,25,12931,False,0,0,1,1.0,1.0,1.0,96,96,561,561,604874,0.79981,186.7,16,15,12160,False,0,0,1,1.0,1.0,1.0,96,96,561,561,405047,0.750221,209.2,18,17,11913,False,0,0,False,False,False
